"tablescraper-selected-row href","eservice","eservice 2"
"","",""
"https://servicepublic.gov.bf/eservice/frsit","FRSIT","Education/Recherche scientifique | Enseignement"
"https://servicepublic.gov.bf/eservice/hebergement-campusfaso","hebergement campusfaso","Education/Recherche scientifique | Enseignement"
"https://servicepublic.gov.bf/eservice/helpdesk-anptic","HELPDESK ANPTIC","Economie Numérique/Postes | TIC"
"https://servicepublic.gov.bf/eservice/inscription-a-loperation-permis-de-conduire","Inscription à l’Opération Permis de Conduire","Jeunesse/Emploi/Formation Professionnelle | Formation professionnelle"
"https://servicepublic.gov.bf/eservice/inscription-enafa","Inscription ENAFA","Jeunesse/Emploi/Formation Professionnelle | Formation professionnelle"
"https://servicepublic.gov.bf/eservice/intranet-mcrp","Intranet  MCRP","Communication | Communication"
"https://servicepublic.gov.bf/eservice/jobf","JOBF","Gouvernance | Gouvernance administrative"
"https://servicepublic.gov.bf/eservice/legiburkina","legiBurkina","Gouvernance | Gouvernance administrative"
"https://servicepublic.gov.bf/eservice/onef-plateforme-de-publication-des-offres-demploi-et-de-formation","ONEF : Plateforme de publication des offres d'emploi et de formation","Jeunesse/Emploi/Formation Professionnelle | Emploi"
"https://servicepublic.gov.bf/eservice/oun-observatoire-urbain-national","OUN (Observatoire Urbain National)","Urbanisme/Habitat | Aménagements urbains"
"https://servicepublic.gov.bf/eservice/paiement-des-droits-de-chancellerie-via-mobilemoney","Paiement des droits de chancellerie","Gouvernance | Distinction honorifique"
"https://servicepublic.gov.bf/eservice/plateforme-devaluation-du-personnel-de-ladministration-publique-burkinabe-enotation","Plateforme d'évaluation du personnel de l'administration publique burkinabè (eNotation)","Travail/Protection sociale | Administration du travail"
"https://servicepublic.gov.bf/eservice/plateforme-simplifiee-de-gestion-des-retraites","Plateforme de demande de l’attestation de chômage","Travail/Protection sociale | Administration du travail"
"https://servicepublic.gov.bf/eservice/plateforme-de-la-diaspora","plateforme de la diaspora","Diplomatie/Relations internationales | Relations internationales"
"https://servicepublic.gov.bf/eservice/plateforme-de-suivi-et-evaluation-des-activites-du-ministere-de-la-fonction-publique","Plateforme de suivi et évaluation des activités du ministère de la Fonction Publique","Travail/Protection sociale | Administration du travail"
"https://servicepublic.gov.bf/eservice/plateforme-integree-de-gestion-academique","Plateforme intégrée de gestion académique","Education/Recherche scientifique | Enseignement"
"https://servicepublic.gov.bf/eservice/plateforme-numerique-youthconnekt-burkina-yc-b","Plateforme numérique YouthConnekt Burkina (YC-B)","Jeunesse/Emploi/Formation Professionnelle | Jeunesse"
"https://servicepublic.gov.bf/eservice/portail-des-e-services-en-environnement-eau-et-assainissement","Portail des e-services en Environnement, Eau et Assainissement","Environnement, Eau et Assainissement | Environnement"
"https://servicepublic.gov.bf/eservice/rbe-registre-electronique-des-beneficiaires-effectifs","RBE( Registre électronique des Bénéficiaires Effectifs)","Justice/Droits humains/Civisme | Promotion de la justice"
"https://servicepublic.gov.bf/eservice/secop","SECOP","Economie/Finances | Commandes publiques"
"","",""
