"gv-text href","card-title","card-rubrique","card-panel","right","right href","left","left href","center","center 2","list-ligne","list-ligne href","list-ligne 2","list-ligne 3","list-ligne href 2","modal-close","modal-close href","material-icons 3"
"https://servicepublic.gov.bf/#md9","Travail/Protection sociale","Administration du travail - Assurance maladie - Promotion de la Mutualité - Promotion des groupes vulnérables - Protection sociale -",".","Particuliers","https://servicepublic.gov.bf/particuliers/travailprotection-sociale","Entreprises","https://servicepublic.gov.bf/entreprises/travailprotection-sociale","","","","","","","","","",""
"","","","","","","","","Administration du travail - Assurance maladie - Promotion de la Mutualité - Promotion des groupes vulnérables - Protection sociale -","Travail/Protection sociale","Particuliers","https://servicepublic.gov.bf/particuliers/travailprotection-sociale","|","Entreprises","https://servicepublic.gov.bf/entreprises/travailprotection-sociale","Fermer","https://servicepublic.gov.bf/#!","cancel"
"https://servicepublic.gov.bf/#md21","Urbanisme/Habitat","Aménagements urbains  - Bâtiments -",".","Particuliers","https://servicepublic.gov.bf/particuliers/urbanismehabitat","Entreprises","https://servicepublic.gov.bf/entreprises/urbanismehabitat","","","","","","","","","",""
"","","","","","","","","Aménagements urbains  - Bâtiments -","Urbanisme/Habitat","Particuliers","https://servicepublic.gov.bf/particuliers/urbanismehabitat","|","Entreprises","https://servicepublic.gov.bf/entreprises/urbanismehabitat","Fermer","https://servicepublic.gov.bf/#!","cancel"
"https://servicepublic.gov.bf/#md36","Publication et Diffusion de la règle du droit","",".","Particuliers","https://servicepublic.gov.bf/particuliers/publication-et-diffusion-de-la-regle-du-droit","Entreprises","https://servicepublic.gov.bf/entreprises/publication-et-diffusion-de-la-regle-du-droit","","","","","","","","","",""
"","","","","","","","","","Publication et Diffusion de la règle du droit","Particuliers","https://servicepublic.gov.bf/particuliers/publication-et-diffusion-de-la-regle-du-droit","|","Entreprises","https://servicepublic.gov.bf/entreprises/publication-et-diffusion-de-la-regle-du-droit","Fermer","https://servicepublic.gov.bf/#!","cancel"
"https://servicepublic.gov.bf/#md30","Economie Numérique/Postes","Postes - TIC -",".","Particuliers","https://servicepublic.gov.bf/particuliers/economie-numeriquepostes","Entreprises","https://servicepublic.gov.bf/entreprises/economie-numeriquepostes","","","","","","","","","",""
"","","","","","","","","Postes - TIC -","Economie Numérique/Postes","Particuliers","https://servicepublic.gov.bf/particuliers/economie-numeriquepostes","|","Entreprises","https://servicepublic.gov.bf/entreprises/economie-numeriquepostes","Fermer","https://servicepublic.gov.bf/#!","cancel"
"https://servicepublic.gov.bf/#md2","Médiation","Médiation dans le privé - Médiation dans le public -",".","Particuliers","https://servicepublic.gov.bf/particuliers/mediation","Entreprises","https://servicepublic.gov.bf/entreprises/mediation","","","","","","","","","",""
"","","","","","","","","Médiation dans le privé - Médiation dans le public -","Médiation","Particuliers","https://servicepublic.gov.bf/particuliers/mediation","|","Entreprises","https://servicepublic.gov.bf/entreprises/mediation","Fermer","https://servicepublic.gov.bf/#!","cancel"
"https://servicepublic.gov.bf/#md5","Agriculture/Elevage","Pêche - Secteur agricole - Secteur de l'élevage -",".","Particuliers","https://servicepublic.gov.bf/particuliers/agricultureelevage","Entreprises","https://servicepublic.gov.bf/entreprises/agricultureelevage","","","","","","","","","",""
"","","","","","","","","Pêche - Secteur agricole - Secteur de l'élevage -","Agriculture/Elevage","Particuliers","https://servicepublic.gov.bf/particuliers/agricultureelevage","|","Entreprises","https://servicepublic.gov.bf/entreprises/agricultureelevage","Fermer","https://servicepublic.gov.bf/#!","cancel"
"https://servicepublic.gov.bf/#md16","Justice/Droits humains/Civisme","Promotion de la justice - Promotion des droits humains - Promotion du civisme -",".","Particuliers","https://servicepublic.gov.bf/particuliers/justicedroits-humainscivisme","Entreprises","https://servicepublic.gov.bf/entreprises/justicedroits-humainscivisme","","","","","","","","","",""
"","","","","","","","","Promotion de la justice - Promotion des droits humains - Promotion du civisme -","Justice/Droits humains/Civisme","Particuliers","https://servicepublic.gov.bf/particuliers/justicedroits-humainscivisme","|","Entreprises","https://servicepublic.gov.bf/entreprises/justicedroits-humainscivisme","Fermer","https://servicepublic.gov.bf/#!","cancel"
"https://servicepublic.gov.bf/#md22","Environnement, Eau et Assainissement","Eau - Assainissement - Environnement -",".","Particuliers","https://servicepublic.gov.bf/particuliers/environnement-eau-et-assainissement","Entreprises","https://servicepublic.gov.bf/entreprises/environnement-eau-et-assainissement","","","","","","","","","",""
"","","","","","","","","Eau - Assainissement - Environnement -","Environnement, Eau et Assainissement","Particuliers","https://servicepublic.gov.bf/particuliers/environnement-eau-et-assainissement","|","Entreprises","https://servicepublic.gov.bf/entreprises/environnement-eau-et-assainissement","Fermer","https://servicepublic.gov.bf/#!","cancel"
